freq	hhtyp	incgrp	unit	geo\TIME_PERIOD	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
A	TOTAL	A_MD60	PC	AL	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.4	29.9	31.7	29.7	27.8	NaN	NaN	NaN
A	TOTAL	A_MD60	PC	AT	2.3	1.8	2.8	3.3	1.7	2.8b	2.1	2.9	1.7	2.4	1.8	2.5	1.7	1.7	1.2	1.1	1.3	1.0	1.2	2.3	3.0	NaN
A	TOTAL	A_MD60	PC	BE	4.9	5.8	11.5	11.7	11.3	4.6	3.5	3.8	4.6	4.4	3.6	3.0	3.5	2.7	3.1	2.6	2.3b	2.7	2.5	4.1	4.9	3.9
A	TOTAL	A_MD60	PC	BG	NaN	NaN	67.3	67.3	63.3	62.2	59.7	62.1	39.8	40.2	38.3	33.4b	31.5	32.5b	29.4	27.4	23.9	20.7	18.4	16.4	15.6	13.9
A	TOTAL	A_MD60	PC	CH	NaN	NaN	NaN	NaN	6.5	6.7	7.0	6.7	0.6	0.3	0.3	0.3b	0.6	0.4	0.3	0.4	0.2	0.1	0.2	0.3	0.4	NaN
A	TOTAL	A_MD60	PC	CY	NaN	NaN	30.4	29.7	29.4	25.7b	18.7	25.0	23.2	27.2	26.8	24.1	24.2	19.5	18.4	17.6	16.5	17.5	14.4	14.1	12.6	9.8b
A	TOTAL	A_MD60	PC	CZ	NaN	NaN	8.2	7.7	5.0	5.0	4.5	4.6	5.6	5.7	5.4	5.1	4.1	2.8	2.5	2.0	2.1	1.8	1.7	2.4	5.0	3.9
A	TOTAL	A_MD60	PC	DE	NaN	NaN	3.3	4.2	3.7	3.9	3.6	3.0	3.0	2.8	3.1	3.2	2.4	2.0	2.1	1.5	1.5	5.3b	2.4	5.4	7.2	5.1
A	TOTAL	A_MD60	PC	DK	9.7	9.6	8.1	8.5	9.3	1.1	1.3	1.4	1.6	1.8	3.0	2.5	2.4	2.0	2.2	2.3	2.0	1.9	1.9	4.5	5.9	4.0
A	TOTAL	A_MD60	PC	EA19	NaN	NaN	6.8	6.7	6.0	5.9	5.4	5.6	6.6	7.6	7.4	7.4	6.6	6.1	5.6	5.3	4.6	5.8	5.2	NaN	NaN	NaN
A	TOTAL	A_MD60	PC	EA20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.2	6.6	6.1	5.6	5.2	4.6	5.7	5.2	7.5	8.9	NaN
A	TOTAL	A_MD60	PC	EE	NaN	4.6	1.9	1.7	2.4	0.7	1.0	2.0	1.9	3.1	2.3	1.1b	0.9	1.8	1.5	1.8	1.5	2.0	1.7	2.6	3.0	2.8
A	TOTAL	A_MD60	PC	EL	12.1	13.1	12.1	8.7	9.8	11.8	10.5	9.7	13.2	19.6	23.9	27.4	23.3	22.8	20.8	18.5	14.4	12.4	12.8	14.1	14.4	NaN
A	TOTAL	A_MD60	PC	ES	NaN	7.5	7.4	7.2	5.8	4.2	5.2b	5.3	4.7	6.6	6.1	7.5	7.0	6.3	4.9	5.9	4.4	7.9	10.5	13.8	17.3	14.2
A	TOTAL	A_MD60	PC	EU	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.3	8.0	8.1	7.5	6.6	6.1	5.7	5.1	4.6e	NaN	NaN	NaN	NaN	NaN
A	TOTAL	A_MD60	PC	EU27_2007	NaN	NaN	NaN	NaN	8.5	7.9	7.2	7.2	7.3	8.1	8.1	7.5	6.6	6.1	5.7	5.1	4.6e	NaN	NaN	NaN	NaN	NaN
A	TOTAL	A_MD60	PC	EU27_2020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.5e	7.6e	8.3e	8.0e	7.6e	6.7e	6.3e	5.8e	5.3e	4.6e	5.3	5.0	7.2	8.3	NaN
A	TOTAL	A_MD60	PC	EU28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.2	7.3	8.0	8.1	7.5	6.6	6.1	5.7	5.1	4.6e	NaN	NaN	NaN	NaN	NaN
A	TOTAL	A_MD60	PC	FI	NaN	3.2	2.4	2.0	0.9	1.5	0.9	1.0	1.5	1.2	1.0	1.2	1.4	1.5	2.0	1.5	1.5	1.7	1.0	1.0	2.4	2.3
A	TOTAL	A_MD60	PC	FR	NaN	4.3	4.2	4.5	3.4	4.4	4.2	4.3	4.3	4.5	4.9	4.5	3.9	3.6	3.4	3.4	4.4	4.8b	4.5	8.4b	9.8	NaN
A	TOTAL	A_MD60	PC	HR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.5	6.5	6.7	6.5	6.2	6.4	6.3	4.1	4.5	3.8	3.1	2.7	3.7	3.4	2.3
A	TOTAL	A_MD60	PC	HU	NaN	NaN	15.2	12.7	9.0	8.1	7.7	9.0	9.4	11.7	11.1	8.5	7.0	6.9	5.6	4.1	4.3	2.7	3.8	3.9	5.4	4.2
A	TOTAL	A_MD60	PC	IE	1.9	2.1	2.2	2.4	2.1	3.0	3.0	5.1	5.8	6.9	8.3	7.3	7.2	4.1	2.8	3.1	3.7b	3.1b	2.7	6.0	6.4	NaN
A	TOTAL	A_MD60	PC	IS	NaN	6.9	9.0	10.2	8.6	0.8b	1.0	1.3	1.9	1.3	1.2	1.6	1.3	1.4	1.1	0.8	1.0	1.1	NaN	NaN	NaN	NaN
A	TOTAL	A_MD60	PC	IT	NaN	7.5	7.4	7.0	7.3	8.0	7.3	7.8	13.3	15.8	13.7	13.1	12.3	11.8	11.7	10.0	7.3	6.1	5.9	6.6	6.7	6.3
A	TOTAL	A_MD60	PC	LT	NaN	NaN	32.1	25.3	19.7	20.4	21.9	22.9	35.3	33.2	28.0	24.5	28.7	29.1	26.8	25.6	23.7	20.4	20.5	14.5	16.1b	NaN
A	TOTAL	A_MD60	PC	LU	0.8	0.3	0.5	0.2	0.2	0.6	0.2	0.2	0.7	0.4	1.0	0.3	0.5	1.3b	1.4	1.4	2.0	3.2b	1.9b	1.4b	1.6	3.1
A	TOTAL	A_MD60	PC	LV	NaN	NaN	26.3	21.6	15.7	11.1	11.9	15.3	18.2	16.3	17.7	13.0	10.3	7.3	6.7	5.1	5.7	4.0	2.6	3.8	3.9	2.5
A	TOTAL	A_MD60	PC	ME	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.8	7.4	5.6	2.2	0.8	3.5	4.9	7.4	15.0	9.9	NaN	NaN
A	TOTAL	A_MD60	PC	MK	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.3	18.6	20.0	21.7	19.0	17.7	21.9	21.2	21.3	29.3	19.4	NaN	NaN	NaN	NaN
A	TOTAL	A_MD60	PC	MT	NaN	NaN	11.8	9.8	9.0	7.9	10.0	12.3	15.7	20.3	21.8	19.6	11.5	5.3	4.4	6.0	6.5	5.6	5.7	6.2	5.6	NaN
A	TOTAL	A_MD60	PC	NL	NaN	NaN	2.3	1.7	1.3	1.4	1.0	1.5	0.9	1.5	2.5	1.8	2.2	1.8b	1.6	1.6	1.7	1.5	1.6	3.7	5.0	5.4
A	TOTAL	A_MD60	PC	NO	2.4	1.2	0.9	1.1	0.6	0.5	0.6	0.5	0.8	0.5	0.6	0.4	0.2	0.4	0.3	0.3	0.8	0.4	1.0b	1.9	1.7	1.8
A	TOTAL	A_MD60	PC	PL	NaN	NaN	29.1	24.2	19.2	17.2b	12.9	11.3	10.4	10.3	8.8	6.7	5.2	5.1	4.5	3.6	2.9	2.2	2.3	4.1	3.9	NaN
A	TOTAL	A_MD60	PC	PT	NaN	31.0	34.6	35.3	36.8	30.1	25.1	25.8	22.9	23.5	24.1	23.7	19.1	17.8	16.3	15.8	15.0	14.3	13.8b	14.0	17.4	12.7
A	TOTAL	A_MD60	PC	RO	NaN	NaN	NaN	NaN	29.1	21.7	19.9	18.2	12.4	11.8	11.5	8.9	8.2	9.8	9.4	6.9	6.0	5.9	6.7	11.3	9.1	8.5
A	TOTAL	A_MD60	PC	RS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.5	13.7	11.6	10.4	10.1	6.9	7.2	4.8	4.5	4.9	4.5	NaN
A	TOTAL	A_MD60	PC	SE	NaN	1.3	1.3	2.2	1.6	1.4b	1.2	1.6	1.5	1.3	0.4	0.8	0.9	2.2	1.6	1.8	1.2	1.9	1.4	2.9	5.4	3.5
A	TOTAL	A_MD60	PC	SI	NaN	NaN	2.0	2.3	3.2	4.3	3.7	3.5	4.2	4.3	3.5	3.9	4.3	3.3	2.8	2.0	1.5	1.9	1.2	1.9	2.1	2.4
A	TOTAL	A_MD60	PC	SK	NaN	NaN	12.8	8.5	3.4	5.0	2.6	2.9	3.4	4.3	3.8	3.8	4.2	3.4	2.4	3.3	5.0	4.0	4.0	4.3	4.5	NaN
A	TOTAL	A_MD60	PC	TR	NaN	NaN	NaN	31.3	30.6	34.3	31.7	NaN	29.0	30.1	20.4	9.3	7.3	17.3	13.4	11.9	12.5	13.7	13.5	13.4	13.8	NaN
A	TOTAL	A_MD60	PC	UK	NaN	NaN	4.4	3.7	3.4	4.6	4.7	4.9	5.5	5.9b	8.5	7.2	5.6	4.5	4.6b	4.0	NaN	NaN	NaN	NaN	NaN	NaN
A	TOTAL	A_MD60	PC	XK	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.2	NaN	NaN	NaN	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	AL	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.4	44.1	53.8	57.5	73.0	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	AT	7.0	5.2	6.0	7.7	9.1	10.0b	7.8	9.0	8.6	7.7	8.3	7.7	8.0	8.7	9.5	4.8	4.9	4.2	4.6	4.8	9.3	NaN
A	TOTAL	B_MD60	PC	BE	11.8	9.9	29.0	31.0	32.8	17.0	15.0	16.2	20.9	18.7	18.4	18.3	14.8	16.2	20.1	18.5	13.2b	12.6	10.5	12.0	13.8	12.5
A	TOTAL	B_MD60	PC	BG	NaN	NaN	79.0	79.0	82.1	81.4	80.2	83.3	68.9	70.0	69.7	66.0b	66.8	61.9b	59.5	56.0	51.1	49.2	42.6	42.7	40.4	37.2
A	TOTAL	B_MD60	PC	CH	NaN	NaN	NaN	NaN	9.4	8.4	11.1	11.0	1.4	1.0	0.7	2.6b	0.8	2.0	0.7	1.8	0.9	0.3	1.7	0.9	0.8	NaN
A	TOTAL	B_MD60	PC	CY	NaN	NaN	51.3	56.3	63.0	48.1b	37.8	40.1	46.3	50.6	51.0	47.5	49.2	49.0	46.8	45.4	47.5	41.6	50.0	50.6	43.6	42.5b
A	TOTAL	B_MD60	PC	CZ	NaN	NaN	19.5	20.2	17.3	16.8	12.7	11.2	13.4	15.3	14.6	15.6	13.5	13.0	9.2	8.9	9.0	6.8	7.7	7.3	16.0	14.4
A	TOTAL	B_MD60	PC	DE	NaN	NaN	13.7	15.0	14.9	17.2	16.2	15.7	16.8	14.8	16.5	13.3	12.7	12.4	9.8	8.9	8.2	16.0b	7.8	13.7	14.3	12.0
A	TOTAL	B_MD60	PC	DK	16.2	14.2	14.5	16.4	18.2	6.0	2.8	4.9	7.4	8.4	10.2	5.8	12.7	7.9	6.6	7.8	8.4	10.9	8.9	9.4	14.1	7.8
A	TOTAL	B_MD60	PC	EA19	NaN	NaN	20.5	21.0	20.0	19.0	19.1	20.2	21.9	24.2	23.8	23.8	23.0	21.6	19.5	19.2	18.5	18.3	16.6	NaN	NaN	NaN
A	TOTAL	B_MD60	PC	EA20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.7	23.0	21.6	19.5	19.2	18.5	18.3	16.6	20.6	23.2	NaN
A	TOTAL	B_MD60	PC	EE	NaN	10.5	5.9	5.0	8.3	3.0	4.7	9.0	8.1	9.6	5.7	3.7b	6.1	6.1	8.1	4.2	6.2	5.5	3.2	5.9	8.1	6.7
A	TOTAL	B_MD60	PC	EL	37.4	32.0	30.3	24.7	29.4	29.9	36.8	38.4	38.8	47.6	48.4	52.6	50.9	52.5	45.3	41.2	34.4	39.2	36.8	38.9	39.8	NaN
A	TOTAL	B_MD60	PC	ES	NaN	17.1	17.1	21.4	17.2	13.1	15.2b	15.6	13.2	18.9	15.6	23.5	23.3	23.2	19.4	20.8	19.6	22.3	27.7	30.1	34.3	31.4
A	TOTAL	B_MD60	PC	EU	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.0	24.5	24.1	23.5	22.7	21.0	18.4	17.9	17.2e	NaN	NaN	NaN	NaN	NaN
