LABEL_REGION,YEAR,MICAT_SECTOR,MICAT_FUEL,Indicator,FACTOR
Austria,2000,Average agriculture,Biomass and Waste,AP_DEATHS,3.99743009
Austria,2000,Average agriculture,Coal,AP_DEATHS,1.757041748
Austria,2000,Average agriculture,Electricity,AP_DEATHS,0.418770056
Austria,2000,Average agriculture,Gas,AP_DEATHS,0.069397034
Austria,2000,Average agriculture,Heat,AP_DEATHS,0.984639982
Austria,2000,Average agriculture,Oil,AP_DEATHS,5.203962727
Austria,2000,Average residential,Biomass and Waste,AP_DEATHS,4.5012751
Austria,2000,Average residential,Coal,AP_DEATHS,4.273413415
Austria,2000,Average residential,Electricity,AP_DEATHS,0.418770056
Austria,2000,Average residential,Gas,AP_DEATHS,0.06939676
Austria,2000,Average residential,Heat,AP_DEATHS,0.984639982
Austria,2000,Average residential,Oil,AP_DEATHS,0.604923928
Austria,2000,Average tertiary,Biomass and Waste,AP_DEATHS,1.13943348
Austria,2000,Average tertiary,Coal,AP_DEATHS,4.675059041
Austria,2000,Average tertiary,Electricity,AP_DEATHS,0.418770056
Austria,2000,Average tertiary,Gas,AP_DEATHS,0.069395675
Austria,2000,Average tertiary,Heat,AP_DEATHS,0.984639982
Austria,2000,Average tertiary,Oil,AP_DEATHS,0.88035176
Austria,2000,Average transport,Electricity,AP_DEATHS,0.418770056
Austria,2000,Average transport,Gas,AP_DEATHS,1.406570638
Austria,2000,Average transport,Heat,AP_DEATHS,0.984639982
Austria,2000,Average transport,Oil,AP_DEATHS,2.426509554
Austria,2000,Aviation,Electricity,AP_DEATHS,0.418770056
Austria,2000,Aviation,Heat,AP_DEATHS,0.984639982
Austria,2000,Aviation,Oil,AP_DEATHS,0.079573102
Austria,2000,Chemical & petrochemical,Biomass and Waste,AP_DEATHS,1.459591529
Austria,2000,Chemical & petrochemical,Coal,AP_DEATHS,1.3876306
Austria,2000,Chemical & petrochemical,Electricity,AP_DEATHS,0.418770056
Austria,2000,Chemical & petrochemical,Gas,AP_DEATHS,0.080202388
Austria,2000,Chemical & petrochemical,Heat,AP_DEATHS,0.984639982
Austria,2000,Chemical & petrochemical,Oil,AP_DEATHS,0.565166663
Austria,2000,Iron & steel,Biomass and Waste,AP_DEATHS,1.790469191
Austria,2000,Iron & steel,Coal,AP_DEATHS,0.191647008
Austria,2000,Iron & steel,Electricity,AP_DEATHS,0.418770056
Austria,2000,Iron & steel,Gas,AP_DEATHS,0.058914699
Austria,2000,Iron & steel,Heat,AP_DEATHS,0.984639982
Austria,2000,Iron & steel,Oil,AP_DEATHS,0.982931394
Austria,2000,Navigation,Electricity,AP_DEATHS,0.418770056
Austria,2000,Navigation,Heat,AP_DEATHS,0.984639982
Austria,2000,Navigation,Oil,AP_DEATHS,5.203872477
Austria,2000,Non-ferrous metals,Biomass and Waste,AP_DEATHS,1.575500684
Austria,2000,Non-ferrous metals,Coal,AP_DEATHS,0.188027718
Austria,2000,Non-ferrous metals,Electricity,AP_DEATHS,0.418770056
Austria,2000,Non-ferrous metals,Gas,AP_DEATHS,0.05891468
Austria,2000,Non-ferrous metals,Heat,AP_DEATHS,0.984639982
Austria,2000,Non-ferrous metals,Oil,AP_DEATHS,0.681786896
Austria,2000,Non-metallic minerals,Biomass and Waste,AP_DEATHS,2.838818682
Austria,2000,Non-metallic minerals,Electricity,AP_DEATHS,0.418770056
Austria,2000,Non-metallic minerals,Heat,AP_DEATHS,0.984639982
Austria,2000,Not elsewhere specified in industry,Biomass and Waste,AP_DEATHS,0.500793336
Austria,2000,Not elsewhere specified in industry,Coal,AP_DEATHS,0.188534611
Austria,2000,Not elsewhere specified in industry,Electricity,AP_DEATHS,0.418770056
Austria,2000,Not elsewhere specified in industry,Gas,AP_DEATHS,0.062586161
Austria,2000,Not elsewhere specified in industry,Heat,AP_DEATHS,0.984639982
Austria,2000,Not elsewhere specified in industry,Oil,AP_DEATHS,1.104472529
Austria,2000,Not elsewhere specified in transport,Electricity,AP_DEATHS,0.418770056
Austria,2000,Not elsewhere specified in transport,Gas,AP_DEATHS,1.458304471
Austria,2000,Not elsewhere specified in transport,Heat,AP_DEATHS,0.984639982
Austria,2000,Not elsewhere specified in transport,Oil,AP_DEATHS,6.109442111
Austria,2000,"Paper, pulp & printing",Biomass and Waste,AP_DEATHS,0.432320882
Austria,2000,"Paper, pulp & printing",Coal,AP_DEATHS,0.904547196
Austria,2000,"Paper, pulp & printing",Electricity,AP_DEATHS,0.418770056
Austria,2000,"Paper, pulp & printing",Gas,AP_DEATHS,0.062585844
Austria,2000,"Paper, pulp & printing",Heat,AP_DEATHS,0.984639982
Austria,2000,"Paper, pulp & printing",Oil,AP_DEATHS,1.487352367
Austria,2000,Rail,Electricity,AP_DEATHS,0.418770056
Austria,2000,Rail,Heat,AP_DEATHS,0.984639982
Austria,2000,Rail,Oil,AP_DEATHS,5.33902092
Austria,2000,Road,Electricity,AP_DEATHS,0.418770056
Austria,2000,Road,Gas,AP_DEATHS,0.264533306
Austria,2000,Road,Heat,AP_DEATHS,0.984639982
Austria,2000,Road,Oil,AP_DEATHS,2.502606625
Austria,2005,Average agriculture,Biomass and Waste,AP_DEATHS,2.221262657
Austria,2005,Average agriculture,Coal,AP_DEATHS,1.792819741
Austria,2005,Average agriculture,Electricity,AP_DEATHS,0.392836229
