<!--
© 2024 Fraunhofer-Gesellschaft e.V., München

SPDX-License-Identifier: AGPL-3.0-or-later
-->
LABEL_REGION	MORB_IND	YEAR	COEFF
Albania	Hospital admissions	2000	698.2788969
Albania	Labor force WLD	2000	43.27123182
Albania	Hospital admissions	2005	698.2788969
Albania	Labor force WLD	2005	43.27123182
Albania	Hospital admissions	2010	698.2788969
Albania	Labor force WLD	2010	43.27123182
Albania	Hospital admissions	2015	808.4077058
Albania	Labor force WLD	2015	47.8112172
Albania	Hospital admissions	2020	918.5365148
Albania	Labor force WLD	2020	52.35120257
Albania	Hospital admissions	2025	1149.64233
Albania	Labor force WLD	2025	61.65669864
Albania	Hospital admissions	2030	1380.748145
Albania	Labor force WLD	2030	70.9621947
Armenia	Hospital admissions	2000	376.749078
Armenia	Labor force WLD	2000	23.14596893
Armenia	Hospital admissions	2005	376.749078
Armenia	Labor force WLD	2005	23.14596893
Armenia	Hospital admissions	2010	376.749078
Armenia	Labor force WLD	2010	23.14596893
Armenia	Hospital admissions	2015	583.2527532
Armenia	Labor force WLD	2015	31.04837874
Armenia	Hospital admissions	2020	789.7564283
Armenia	Labor force WLD	2020	38.95078854
Armenia	Hospital admissions	2025	1158.111079
Armenia	Labor force WLD	2025	53.04597718
Armenia	Hospital admissions	2030	1526.46573
Armenia	Labor force WLD	2030	67.14116582
Austria	Hospital admissions	2000	5734.350468
Austria	Labor force WLD	2000	175.0426566
Austria	Hospital admissions	2005	5734.350468
Austria	Labor force WLD	2005	175.0426566
Austria	Hospital admissions	2010	5734.350468
Austria	Labor force WLD	2010	175.0426566
Austria	Hospital admissions	2015	6078.457904
Austria	Labor force WLD	2015	188.3265001
Austria	Hospital admissions	2020	6422.56534
Austria	Labor force WLD	2020	201.6103436
Austria	Hospital admissions	2025	6770.752038
Austria	Labor force WLD	2025	213.2590307
Austria	Hospital admissions	2030	7118.938737
Austria	Labor force WLD	2030	224.9077178
Azerbaijan	Hospital admissions	2000	780.2464079
Azerbaijan	Labor force WLD	2000	51.09957013
Azerbaijan	Hospital admissions	2005	780.2464079
Azerbaijan	Labor force WLD	2005	51.09957013
Azerbaijan	Hospital admissions	2010	780.2464079
Azerbaijan	Labor force WLD	2010	51.09957013
Azerbaijan	Hospital admissions	2015	960.8041145
Azerbaijan	Labor force WLD	2015	58.74698428
Azerbaijan	Hospital admissions	2020	1141.361821
Azerbaijan	Labor force WLD	2020	66.39439842
Azerbaijan	Hospital admissions	2025	1394.124358
Azerbaijan	Labor force WLD	2025	76.83562148
Azerbaijan	Hospital admissions	2030	1646.886895
Azerbaijan	Labor force WLD	2030	87.27684454
Belarus	Hospital admissions	2000	1117.764059
Belarus	Labor force WLD	2000	67.90894107
Belarus	Hospital admissions	2005	1117.764059
Belarus	Labor force WLD	2005	67.90894107
Belarus	Hospital admissions	2010	1117.764059
Belarus	Labor force WLD	2010	67.90894107
Belarus	Hospital admissions	2015	1486.586607
Belarus	Labor force WLD	2015	82.70156298
Belarus	Hospital admissions	2020	1855.409155
Belarus	Labor force WLD	2020	97.49418489
Belarus	Hospital admissions	2025	2607.741989
Belarus	Labor force WLD	2025	126.4918208
