Title,"Item Code","Zone Name","ISO Code",Year,Unit,Value,Note
"Energy savings from industry since 2000",savindcum,"European Union",EU,2000,Mtoe,0,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2001,Mtoe,1.4,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2002,Mtoe,6.94,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2003,Mtoe,10.1,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2004,Mtoe,14.33,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2005,Mtoe,18.04,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2006,Mtoe,30.65,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2007,Mtoe,36.54,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2008,Mtoe,37.39,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2009,Mtoe,40.4,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2010,Mtoe,42.57,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2011,Mtoe,48.29,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2012,Mtoe,48.29,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2013,Mtoe,48.66,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2014,Mtoe,51.21,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2015,Mtoe,55.85,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2016,Mtoe,56.8,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2017,Mtoe,57.8,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2018,Mtoe,60.53,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2019,Mtoe,62.81,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2020,Mtoe,64.05,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2021,Mtoe,69.94,
"Energy savings from industry since 2000",savindcum,"European Union",EU,2022,Mtoe,83.36,
"Energy savings from industry since 2000",savindcum,Austria,AT,2000,Mtoe,0,
"Energy savings from industry since 2000",savindcum,Austria,AT,2001,Mtoe,0.19,
"Energy savings from industry since 2000",savindcum,Austria,AT,2002,Mtoe,0.25,
"Energy savings from industry since 2000",savindcum,Austria,AT,2003,Mtoe,0.29,
"Energy savings from industry since 2000",savindcum,Austria,AT,2004,Mtoe,0.42,
"Energy savings from industry since 2000",savindcum,Austria,AT,2005,Mtoe,0.51,
"Energy savings from industry since 2000",savindcum,Austria,AT,2006,Mtoe,0.61,
"Energy savings from industry since 2000",savindcum,Austria,AT,2007,Mtoe,0.81,
"Energy savings from industry since 2000",savindcum,Austria,AT,2008,Mtoe,0.83,
"Energy savings from industry since 2000",savindcum,Austria,AT,2009,Mtoe,0.83,
"Energy savings from industry since 2000",savindcum,Austria,AT,2010,Mtoe,0.83,
"Energy savings from industry since 2000",savindcum,Austria,AT,2011,Mtoe,0.84,
"Energy savings from industry since 2000",savindcum,Austria,AT,2012,Mtoe,0.84,
"Energy savings from industry since 2000",savindcum,Austria,AT,2013,Mtoe,0.94,
"Energy savings from industry since 2000",savindcum,Austria,AT,2014,Mtoe,1.08,
"Energy savings from industry since 2000",savindcum,Austria,AT,2015,Mtoe,1.12,
"Energy savings from industry since 2000",savindcum,Austria,AT,2016,Mtoe,1.15,
"Energy savings from industry since 2000",savindcum,Austria,AT,2017,Mtoe,1.24,
"Energy savings from industry since 2000",savindcum,Austria,AT,2018,Mtoe,1.26,
"Energy savings from industry since 2000",savindcum,Austria,AT,2019,Mtoe,1.33,
"Energy savings from industry since 2000",savindcum,Austria,AT,2020,Mtoe,1.42,
"Energy savings from industry since 2000",savindcum,Austria,AT,2021,Mtoe,1.46,
"Energy savings from industry since 2000",savindcum,Austria,AT,2022,Mtoe,1.51,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2000,Mtoe,0,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2001,Mtoe,0.51,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2002,Mtoe,1.59,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2003,Mtoe,1.8,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2004,Mtoe,2.75,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2005,Mtoe,2.84,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2006,Mtoe,3.55,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2007,Mtoe,3.75,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2008,Mtoe,4.19,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2009,Mtoe,4.28,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2010,Mtoe,4.28,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2011,Mtoe,4.49,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2012,Mtoe,4.5,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2013,Mtoe,4.55,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2014,Mtoe,4.77,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2015,Mtoe,4.8,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2016,Mtoe,4.83,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2017,Mtoe,4.87,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2018,Mtoe,4.98,
"Energy savings from industry since 2000",savindcum,Belgium,BE,2019,Mtoe,5.33,
